episode,timestep,ep_length,cum_reward,w_yield,w_neff,w_water,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,critic_loss,actor_loss
165,26408,152,0.9442,0.0,0.0,1.0,-0.1346,-0.9724,0.3283,7107.1,6439.6,268.7,456.7,0.000192,
166,26564,156,0.2224,0.4588,0.2217,0.3195,0.809,-0.952,-1.0,10702.2,5573.6,1186.9,749.8,0.000419,
167,26719,155,0.5213,0.6192,0.3449,0.0358,0.7298,-0.9559,-1.0,10400.6,5897.7,1162.4,363.2,0.000841,0.421632
168,26885,166,0.2638,0.4387,0.1511,0.4102,0.9907,-0.9599,-1.0,11394.6,7102.0,1333.4,721.9,0.004189,0.429872
169,27046,161,0.7898,0.0316,0.0264,0.942,-0.4221,-0.9759,0.2598,6011.8,6233.0,296.1,871.3,0.002407,
170,27210,164,-0.2471,0.1351,0.5816,0.2833,1.0,-0.8943,-1.0,12196.1,2885.4,1132.2,965.4,0.000718,
171,27376,166,-0.2947,0.134,0.3698,0.4962,1.0,-0.9433,-1.0,11766.7,5188.6,973.5,538.9,0.00335,
172,27542,166,-0.0828,0.0586,0.8198,0.1215,0.9646,-0.5093,-1.0,11295.1,575.4,1120.2,576.4,0.002646,
173,27700,158,0.471,0.539,0.0681,0.3928,1.0,-0.9551,-1.0,11751.8,6545.5,1206.9,523.5,0.000218,
174,27862,162,1.3058,1.0,0.0,0.0,0.8976,-0.9613,-1.0,11039.7,7126.7,1682.6,822.4,0.000962,
175,28020,158,0.1735,0.3618,0.5411,0.0971,0.9271,-0.8921,-1.0,11152.3,2583.0,1370.3,547.4,0.000831,
176,28174,154,1.0366,0.8699,0.0421,0.0881,0.9515,-0.9578,-1.0,11245.3,6654.5,1600.2,609.5,0.001228,
177,28334,160,0.1643,0.1431,0.2053,0.6516,1.0,-0.9306,-0.4074,12275.9,4423.7,563.0,600.4,0.000402,
178,28494,160,0.4768,0.2056,0.1171,0.6773,0.7388,-0.9373,-0.2504,10434.7,4160.6,500.1,512.9,0.002245,
179,28653,159,0.0916,0.1281,0.8114,0.0605,1.0,-0.5783,-1.0,11849.8,702.5,929.3,389.1,0.00644,0.386444
180,28812,159,0.9152,0.0,0.0,1.0,0.4039,-0.9584,0.2583,9158.7,5502.2,296.7,750.6,0.001401,
181,28971,159,-0.4572,0.0625,0.3947,0.5429,1.0,-0.9154,-1.0,12950.1,3827.1,881.6,799.8,0.004009,0.386998
182,29124,153,-0.0127,0.3112,0.246,0.4428,0.9176,-0.9391,-1.0,11115.9,4566.0,1140.4,343.3,0.000339,
183,29283,159,0.1438,0.3911,0.3624,0.2465,0.8885,-0.9368,-1.0,11005.2,4354.7,1594.3,331.0,0.003525,0.398049
184,29441,158,0.3561,0.1406,0.1714,0.688,0.1841,-0.9495,-0.0585,8321.5,4119.6,423.4,456.1,0.000289,0.40773
185,29598,157,0.1932,0.3608,0.0725,0.5667,0.9392,-0.9443,-0.8653,11198.2,5024.4,746.1,780.2,0.000966,
186,29757,159,1.044,0.8327,0.0835,0.0838,1.0,-0.9264,-1.0,11584.3,3932.9,1549.8,678.9,0.000249,0.359473
187,29916,159,0.8745,0.7627,0.1801,0.0572,0.9589,-0.9241,-1.0,11273.3,3712.2,1338.4,1108.7,0.000283,
188,30071,155,0.0286,0.0,1.0,0.0,-0.3848,-0.1817,-1.0,6153.8,188.0,811.4,657.6,0.005941,0.361014
189,30226,155,-0.1488,0.24,0.5374,0.2226,0.6956,-0.9089,-1.0,10270.1,2819.7,1255.7,493.1,0.012114,
190,30387,161,0.8927,0.0,0.0,1.0,0.4817,-0.9499,0.2566,9455.3,4716.0,297.3,492.0,0.003178,0.40474
191,30542,155,0.2285,0.7152,0.2235,0.0613,0.192,-0.9362,-1.0,8351.6,3273.4,1208.0,543.2,0.000253,
192,30706,164,-0.0407,0.2057,0.6586,0.1357,1.0,-0.8385,-1.0,11700.4,1811.2,1094.5,499.3,0.00034,
193,30866,160,-0.1321,0.2057,0.4121,0.3821,1.0,-0.9113,-1.0,11749.1,3310.1,1199.8,541.7,0.000319,
