episode,timestep,ep_length,cum_reward,w_yield,w_neff,w_water,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,critic_loss,actor_loss
179,28653,159,0.6067,0.4792,0.0397,0.4811,1.0,-0.9321,-0.6885,11738.1,4324.9,675.4,389.1,0.001818,0.248893
180,28812,159,-0.0457,0.0031,0.8722,0.1247,0.4162,-0.1546,-1.0,9205.9,272.2,978.7,750.6,0.000279,
181,28971,159,0.4243,0.5018,0.0275,0.4707,1.0,-0.9322,-1.0,12950.1,4777.8,821.2,799.8,0.000477,0.220885
182,29124,153,0.9149,0.0587,0.0707,0.8706,-0.3901,-0.9576,0.4105,6133.7,3618.2,235.8,343.3,0.000704,
183,29283,159,0.9465,0.7976,0.1265,0.0759,0.8394,-0.9311,-1.0,10818.0,3924.5,910.9,331.0,0.000561,0.241409
184,29441,158,0.3676,0.4547,0.1171,0.4282,1.0,-0.9249,-1.0,12110.9,4032.9,869.1,456.1,0.000561,0.242531
185,29598,157,0.7823,0.1821,0.0923,0.7255,0.7272,-0.9322,0.2263,10390.6,3831.0,309.5,780.2,0.000982,
186,29757,159,0.5845,0.5713,0.2095,0.2192,1.0,-0.9254,-1.0,11584.3,3881.9,923.3,678.9,0.000653,0.223062
187,29916,159,1.2136,0.9331,0.0071,0.0598,0.9441,-0.9301,-1.0,11217.1,4014.7,1008.9,1108.7,0.000457,
188,30071,155,1.0058,0.0725,0.0176,0.9099,0.2115,-0.9436,0.4791,8425.7,3735.8,208.4,657.6,0.000727,0.216888
189,30226,155,-0.1226,0.1268,0.3286,0.5446,0.6956,-0.9377,-0.6464,10270.1,4122.0,658.6,493.1,0.000588,
190,30387,161,0.7336,0.6509,0.0937,0.2554,1.0,-0.9066,-1.0,12843.4,3437.7,941.8,492.0,0.000459,0.246993
191,30542,155,0.2313,0.6775,0.2982,0.0243,0.1864,-0.9373,-1.0,8330.1,3320.2,816.5,543.2,0.001046,
192,30706,164,-0.3989,0.0416,0.4777,0.4807,1.0,-0.9152,-0.9685,11700.4,3448.1,787.4,499.3,0.00214,
193,30866,160,0.032,0.1265,0.8383,0.0353,0.6341,-0.4055,-1.0,10035.8,422.0,1133.6,541.7,0.003022,
194,31028,162,0.1998,0.326,0.1838,0.4902,0.7223,-0.9123,-0.7125,10372.0,2958.1,685.0,381.1,0.002516,
195,31186,158,0.8631,0.1722,0.0748,0.753,0.0636,-0.9464,0.3322,7862.4,3667.4,267.1,485.4,0.003405,
