scenario,scenario_label,level_idx,level_label,corner,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm
actuator_W,Irrigation Pump Efficiency,3,40%,water,-0.9898688197135925,-1.0,0.9983847737312317,2770.1148986816406,16646.134547424317,0.6460900878906246
actuator_W,Irrigation Pump Efficiency,3,40%,balanced,-0.7833176255226135,-0.995945930480957,0.9993599653244019,3145.539352416992,14311.110565185547,0.2560125732421878
actuator_W,Irrigation Pump Efficiency,4,20%,yield,-0.804155170917511,-0.9962461590766907,0.9989291429519653,4107.396667480469,15073.834831237793,0.4283402252197267
actuator_W,Irrigation Pump Efficiency,4,20%,n_eff,-0.5893822908401489,-0.7706018686294556,0.9999669194221497,4784.8345947265625,318.4,0.01323616027832035
actuator_W,Irrigation Pump Efficiency,4,20%,water,-0.7406595945358276,-0.9977964162826538,0.9991725087165833,3246.9811248779297,17063.44169769287,0.3309856414794919
actuator_W,Irrigation Pump Efficiency,4,20%,balanced,-0.5834649205207825,-0.9945148229598999,0.9996843338012695,4882.691986083984,14115.555017089844,0.1262887573242189
actuator_W,Irrigation Pump Efficiency,5,0%,yield,-0.8625785112380981,-0.9978678822517395,1.0,2952.447235107422,15130.100274658203,0.0
actuator_W,Irrigation Pump Efficiency,5,0%,n_eff,-0.29237455129623413,-0.6124188303947449,1.0,5915.177307128906,323.6,0.0
actuator_W,Irrigation Pump Efficiency,5,0%,water,-0.9704126119613647,-1.0,1.0,3025.718719482422,16583.54071044922,0.0
actuator_W,Irrigation Pump Efficiency,5,0%,balanced,-0.7147113084793091,-0.9956091046333313,1.0,4896.950012207031,14097.777239990235,0.0
