episode,total_steps,fault_type,phase,is_clean,R_yield,R_ane,R_water_eff,ep_len,critic_loss
380,60816,clean,0,1,0.6646,-0.7199,-1.0,158,0.001051
381,60973,clean,0,1,0.5907,-0.4626,-1.0,157,0.000592
382,61129,clean,0,1,0.7193,-0.9079,-1.0,156,0.00083
383,61291,clean,0,1,0.0832,-0.9642,0.1659,162,0.000927
384,61454,clean,0,1,1.0,-0.9029,-1.0,163,0.001169
385,61611,clean,0,1,0.0784,-0.7638,-1.0,157,0.000566
386,61771,clean,0,1,-0.138,-0.1789,-1.0,160,0.000739
387,61934,clean,0,1,0.5842,-0.8913,-1.0,163,0.00045
388,62094,clean,0,1,0.6129,-0.9394,-1.0,160,0.000876
389,62257,clean,0,1,1.0,-0.9416,-1.0,163,0.001045
390,62418,clean,0,1,1.0,-0.95,-1.0,161,0.001236
391,62579,clean,0,1,1.0,-0.9502,-1.0,161,0.000673
392,62737,clean,0,1,1.0,-0.9476,-1.0,158,0.000613
393,62897,clean,0,1,0.8441,-0.849,-1.0,160,0.0009
394,63055,clean,0,1,-0.6319,-0.2825,-1.0,158,0.001256
395,63215,clean,0,1,1.0,-0.8564,-1.0,160,0.001193
396,63374,clean,0,1,0.8015,-0.9539,-0.3165,159,0.001034
